,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
43167,73,retired,married,unknown,no,519,no,no,telephone,26,feb,270,3,133,2,success,yes
34137,45,admin.,married,secondary,no,1435,yes,no,cellular,30,apr,257,1,-1,0,unknown,no
41648,40,blue-collar,married,secondary,no,1451,no,no,cellular,30,sep,117,1,121,1,success,yes
13462,43,blue-collar,married,secondary,no,173,no,yes,telephone,9,jul,238,8,-1,0,unknown,no
9759,37,blue-collar,single,primary,no,7027,no,no,unknown,9,jun,65,1,-1,0,unknown,no
36653,40,blue-collar,married,primary,no,-48,yes,no,cellular,12,may,113,1,-1,0,unknown,no
41556,32,management,single,tertiary,no,2,yes,no,cellular,11,sep,100,2,-1,0,unknown,yes
14686,44,blue-collar,divorced,secondary,no,-1,no,yes,cellular,15,jul,194,5,-1,0,unknown,no
26855,31,unemployed,single,secondary,no,0,no,no,cellular,20,nov,324,5,-1,0,unknown,no
15106,60,retired,divorced,tertiary,no,129,no,no,cellular,17,jul,490,7,-1,0,unknown,no
37414,57,management,divorced,tertiary,no,408,yes,no,cellular,13,may,402,2,351,1,failure,no
18810,48,unemployed,married,secondary,no,0,no,no,telephone,31,jul,35,11,-1,0,unknown,no
8381,42,management,married,tertiary,no,255,yes,yes,unknown,3,jun,238,2,-1,0,unknown,no
17922,48,unknown,married,unknown,no,286,no,no,cellular,30,jul,166,2,-1,0,unknown,no
16782,26,technician,single,secondary,no,3382,no,no,cellular,24,jul,844,5,-1,0,unknown,no
28621,39,technician,divorced,secondary,no,1333,yes,yes,cellular,29,jan,585,2,246,1,failure,no
10411,53,unemployed,married,secondary,no,0,yes,no,unknown,12,jun,313,1,-1,0,unknown,no
41225,53,technician,married,tertiary,no,0,yes,no,cellular,21,aug,53,1,-1,0,unknown,no
6252,42,admin.,single,secondary,no,-847,yes,no,unknown,27,may,137,2,-1,0,unknown,no
10383,40,services,married,secondary,no,1291,no,yes,unknown,12,jun,138,1,-1,0,unknown,no
43974,75,retired,married,secondary,no,468,no,no,telephone,24,jun,316,1,-1,0,unknown,no
38651,29,blue-collar,single,secondary,no,7531,no,no,cellular,15,may,50,2,-1,0,unknown,no
22360,34,technician,single,secondary,no,95,no,no,cellular,22,aug,119,8,-1,0,unknown,no
26950,30,management,single,secondary,no,8101,yes,no,cellular,21,nov,49,1,-1,0,unknown,no
34901,33,unemployed,single,tertiary,no,0,yes,no,cellular,6,may,124,1,-1,0,unknown,no
23344,32,management,divorced,tertiary,no,4393,no,no,cellular,27,aug,88,3,-1,0,unknown,no
30006,59,blue-collar,married,primary,no,616,no,no,cellular,4,feb,253,3,215,2,other,no
39474,28,technician,single,tertiary,no,386,no,no,cellular,25,may,867,1,-1,0,unknown,yes
12911,26,admin.,married,secondary,no,383,yes,yes,cellular,7,jul,238,2,-1,0,unknown,no
20343,30,management,married,tertiary,no,1882,yes,no,cellular,11,aug,249,5,-1,0,unknown,no
30945,60,technician,married,secondary,no,21,no,no,telephone,9,feb,172,4,-1,0,unknown,no
40204,51,self-employed,married,unknown,no,2094,no,no,cellular,8,jun,458,6,-1,0,unknown,yes
1368,31,blue-collar,married,secondary,no,335,yes,no,unknown,8,may,226,1,-1,0,unknown,no
41486,43,blue-collar,married,secondary,no,2160,no,no,cellular,8,sep,261,1,98,1,success,yes
11153,61,entrepreneur,divorced,secondary,no,369,no,no,unknown,18,jun,82,1,-1,0,unknown,no
39754,57,management,married,tertiary,no,473,no,no,cellular,1,jun,295,1,-1,0,unknown,yes
37478,38,blue-collar,divorced,primary,no,0,yes,no,cellular,13,may,531,2,-1,0,unknown,yes
21433,30,technician,single,tertiary,no,2832,no,no,cellular,18,aug,350,6,-1,0,unknown,no
28916,29,admin.,single,secondary,no,124,no,no,cellular,2,feb,94,1,5,2,other,no
22020,35,entrepreneur,divorced,secondary,no,80,no,no,cellular,20,aug,67,5,-1,0,unknown,no
28170,36,admin.,married,secondary,no,498,yes,no,cellular,29,jan,151,1,253,1,failure,no
40082,38,entrepreneur,divorced,secondary,no,1190,yes,no,cellular,4,jun,81,2,391,3,failure,yes
21783,58,blue-collar,married,secondary,no,72,no,no,cellular,19,aug,235,5,-1,0,unknown,no
17096,32,services,married,secondary,no,194,yes,yes,cellular,25,jul,150,2,-1,0,unknown,no
18458,57,retired,married,secondary,no,1354,no,no,cellular,31,jul,131,9,-1,0,unknown,no
29881,58,management,married,tertiary,no,2142,yes,no,cellular,4,feb,41,2,274,3,failure,no
21272,46,blue-collar,married,secondary,no,689,no,no,cellular,18,aug,121,7,-1,0,unknown,no
30764,46,unemployed,married,primary,no,1251,yes,no,cellular,6,feb,665,2,-1,0,unknown,no
14712,35,admin.,married,secondary,no,348,yes,yes,cellular,15,jul,323,3,-1,0,unknown,no
33041,47,blue-collar,married,secondary,no,1203,yes,no,cellular,17,apr,239,2,-1,0,unknown,no
5637,38,admin.,married,secondary,no,0,yes,no,unknown,23,may,353,2,-1,0,unknown,no
29202,60,retired,married,tertiary,no,2557,yes,no,cellular,2,feb,415,1,-1,0,unknown,yes
28871,26,services,single,secondary,no,512,yes,yes,cellular,30,jan,206,5,239,3,failure,no
25526,41,management,married,tertiary,no,1495,yes,no,cellular,19,nov,210,2,-1,0,unknown,no
19996,55,management,married,tertiary,no,223,no,no,cellular,8,aug,273,5,-1,0,unknown,no
19639,37,blue-collar,married,tertiary,no,359,no,yes,cellular,7,aug,3422,2,-1,0,unknown,no
44090,60,management,divorced,primary,no,2694,no,no,telephone,6,jul,295,1,-1,0,unknown,no
26851,45,blue-collar,single,unknown,no,816,no,no,cellular,20,nov,279,3,-1,0,unknown,no
2619,44,services,married,secondary,no,29312,no,no,unknown,13,may,226,1,-1,0,unknown,no
14413,43,technician,married,primary,no,-441,yes,no,cellular,14,jul,216,3,-1,0,unknown,no
40703,59,retired,married,unknown,no,1116,no,no,cellular,7,aug,149,2,99,1,failure,no
36357,50,entrepreneur,married,secondary,no,533,yes,no,cellular,11,may,171,2,-1,0,unknown,no
30677,40,admin.,single,secondary,no,0,no,no,cellular,6,feb,290,1,-1,0,unknown,no
43772,21,student,single,secondary,no,215,no,no,cellular,24,may,382,1,89,7,success,yes
36279,53,blue-collar,married,secondary,no,-102,yes,no,cellular,11,may,52,2,-1,0,unknown,no
7537,55,blue-collar,married,secondary,no,471,yes,no,unknown,30,may,58,2,-1,0,unknown,no
1258,49,admin.,married,primary,no,458,yes,no,unknown,8,may,381,1,-1,0,unknown,no
44674,39,services,single,secondary,no,91,no,no,cellular,3,sep,213,1,185,1,success,yes
32331,29,admin.,married,secondary,no,2121,no,no,cellular,16,apr,281,1,342,2,other,no
42259,50,admin.,married,secondary,no,3608,yes,no,cellular,13,nov,176,2,197,2,success,yes
8000,40,admin.,single,secondary,no,2378,yes,no,unknown,2,jun,65,1,-1,0,unknown,no
28881,31,admin.,divorced,secondary,no,217,yes,no,cellular,30,jan,1776,2,-1,0,unknown,yes
28796,47,housemaid,married,tertiary,no,1692,yes,no,cellular,30,jan,592,1,-1,0,unknown,no
23795,51,blue-collar,married,primary,no,21614,no,no,cellular,29,aug,47,20,-1,0,unknown,no
683,49,admin.,married,secondary,no,82,yes,no,unknown,6,may,310,1,-1,0,unknown,no
16804,33,technician,divorced,secondary,no,791,yes,no,cellular,24,jul,268,2,-1,0,unknown,no
2719,25,services,single,secondary,yes,57,yes,yes,unknown,13,may,190,5,-1,0,unknown,no
33896,31,technician,single,secondary,no,4105,no,no,cellular,30,apr,264,1,-1,0,unknown,no
2692,59,blue-collar,married,unknown,no,-278,yes,no,unknown,13,may,318,2,-1,0,unknown,no
5496,32,self-employed,single,secondary,no,4,yes,no,unknown,23,may,233,2,-1,0,unknown,no
30628,26,unknown,single,secondary,no,3247,no,no,telephone,6,feb,341,3,-1,0,unknown,no
29749,37,blue-collar,divorced,secondary,no,0,yes,yes,cellular,4,feb,131,1,-1,0,unknown,no
23334,59,retired,married,primary,no,213,no,no,cellular,27,aug,184,3,-1,0,unknown,no
24852,59,retired,married,secondary,no,306,no,yes,cellular,18,nov,121,1,-1,0,unknown,no
26956,31,entrepreneur,single,tertiary,yes,-405,yes,yes,cellular,21,nov,846,1,100,2,success,no
14293,35,housemaid,married,primary,no,1266,yes,no,cellular,14,jul,84,2,-1,0,unknown,no
10209,60,housemaid,married,secondary,no,3587,no,no,unknown,11,jun,133,2,-1,0,unknown,no
44136,30,self-employed,single,tertiary,no,251,no,no,cellular,12,jul,537,1,-1,0,unknown,yes
28738,58,entrepreneur,married,tertiary,no,0,no,yes,cellular,30,jan,540,1,2,2,other,no
34773,31,services,married,secondary,no,1783,yes,yes,cellular,6,may,219,1,-1,0,unknown,no
12103,36,housemaid,married,primary,no,622,no,no,unknown,20,jun,55,5,-1,0,unknown,no
5980,28,technician,single,secondary,no,541,yes,no,unknown,26,may,157,3,-1,0,unknown,no
19433,38,services,married,secondary,no,5003,no,no,cellular,6,aug,275,9,-1,0,unknown,no
18602,58,management,married,tertiary,no,0,no,no,telephone,31,jul,27,16,-1,0,unknown,no
28542,48,management,divorced,tertiary,no,657,no,yes,cellular,29,jan,251,2,-1,0,unknown,no
19403,53,technician,married,secondary,no,1225,no,no,cellular,6,aug,70,2,-1,0,unknown,no
21431,47,blue-collar,married,secondary,no,665,no,no,cellular,18,aug,885,3,-1,0,unknown,no
22163,41,technician,married,secondary,no,1032,yes,no,cellular,21,aug,64,2,-1,0,unknown,no
37790,42,blue-collar,single,primary,no,177,yes,no,cellular,14,may,174,2,-1,0,unknown,no
19811,41,management,married,tertiary,no,881,no,no,cellular,8,aug,75,2,-1,0,unknown,no
28270,48,management,married,primary,no,1513,no,no,cellular,29,jan,166,2,-1,0,unknown,no
28820,26,admin.,single,secondary,no,802,no,no,cellular,30,jan,77,1,2,2,other,no
34283,40,unemployed,single,secondary,no,356,yes,no,cellular,4,may,225,2,339,2,failure,no
34990,32,blue-collar,married,secondary,no,678,yes,no,cellular,6,may,147,1,-1,0,unknown,no
27483,57,housemaid,divorced,primary,no,492,no,no,telephone,21,nov,181,2,-1,0,unknown,no
21170,35,management,married,tertiary,no,-547,yes,no,cellular,14,aug,101,2,-1,0,unknown,no
31603,39,entrepreneur,married,secondary,no,10200,yes,no,cellular,3,apr,57,4,-1,0,unknown,no
42339,42,management,married,tertiary,no,2187,yes,no,cellular,17,nov,525,3,-1,0,unknown,yes
36111,28,technician,single,secondary,no,389,yes,no,cellular,11,may,15,7,-1,0,unknown,no
6703,46,admin.,married,secondary,no,-363,yes,yes,unknown,28,may,236,1,-1,0,unknown,no
18699,35,management,married,tertiary,no,1078,yes,no,cellular,31,jul,48,4,-1,0,unknown,no
27630,49,technician,married,secondary,no,5996,no,no,telephone,21,nov,345,2,-1,0,unknown,no
40527,52,technician,married,tertiary,no,523,yes,yes,cellular,8,jul,113,1,-1,0,unknown,no
16954,54,blue-collar,married,primary,no,95,no,no,cellular,25,jul,302,1,-1,0,unknown,no
33839,36,housemaid,married,primary,no,531,no,no,cellular,28,apr,151,3,-1,0,unknown,no
23196,52,management,married,tertiary,no,1158,no,no,cellular,27,aug,57,4,-1,0,unknown,no
14803,37,technician,divorced,secondary,no,0,yes,no,cellular,16,jul,46,1,-1,0,unknown,no
5459,35,blue-collar,married,secondary,no,430,yes,no,unknown,23,may,147,50,-1,0,unknown,no
37993,53,services,divorced,secondary,no,765,yes,no,cellular,14,may,959,3,174,7,other,yes
39655,41,self-employed,single,tertiary,no,1081,no,no,cellular,27,may,229,3,-1,0,unknown,yes
4964,52,blue-collar,married,secondary,no,289,yes,no,unknown,21,may,45,13,-1,0,unknown,no
557,56,admin.,divorced,secondary,no,778,yes,no,unknown,6,may,149,2,-1,0,unknown,no
30434,40,admin.,married,secondary,no,367,yes,no,telephone,5,feb,89,1,274,1,failure,no
29545,31,blue-collar,married,primary,no,124,yes,no,cellular,3,feb,343,1,264,4,failure,no
14010,29,management,married,tertiary,no,6586,no,no,cellular,10,jul,176,1,-1,0,unknown,no
10081,38,blue-collar,divorced,secondary,no,2998,yes,no,unknown,11,jun,91,1,-1,0,unknown,no
44656,63,unknown,married,secondary,no,367,no,no,telephone,2,sep,173,1,182,7,failure,no
43094,51,management,single,unknown,no,1277,no,no,cellular,22,feb,143,5,294,1,failure,no
13490,48,technician,married,secondary,no,-205,yes,yes,cellular,9,jul,112,1,-1,0,unknown,no
16846,34,technician,married,tertiary,no,0,yes,no,cellular,25,jul,52,3,-1,0,unknown,no
16747,36,management,married,tertiary,no,268,yes,yes,cellular,24,jul,823,1,-1,0,unknown,no
21768,38,management,married,tertiary,no,0,no,no,cellular,19,aug,219,2,-1,0,unknown,no
32162,58,blue-collar,single,secondary,no,3612,yes,no,cellular,15,apr,563,1,-1,0,unknown,no
33221,36,entrepreneur,married,secondary,no,13,yes,no,cellular,20,apr,98,3,-1,0,unknown,no
27182,38,technician,single,secondary,no,8381,no,no,cellular,21,nov,98,1,-1,0,unknown,no
30507,45,unemployed,married,unknown,no,490,yes,no,cellular,5,feb,776,3,-1,0,unknown,no
35315,53,management,married,tertiary,no,34230,yes,yes,cellular,7,may,279,1,358,9,other,no
43671,78,retired,divorced,secondary,no,3417,no,no,cellular,12,may,309,1,181,1,success,yes
11359,44,admin.,single,secondary,no,2524,no,no,unknown,19,jun,82,1,-1,0,unknown,no
14990,47,unemployed,married,secondary,no,49,yes,no,cellular,17,jul,66,7,-1,0,unknown,no
34956,22,student,single,secondary,no,310,yes,no,cellular,6,may,903,2,355,1,other,no
5146,31,blue-collar,single,secondary,no,0,yes,no,unknown,21,may,397,9,-1,0,unknown,no
11807,45,blue-collar,married,primary,no,0,no,yes,unknown,20,jun,74,2,-1,0,unknown,no
44269,41,admin.,married,secondary,no,14968,no,no,cellular,23,jul,1360,4,-1,0,unknown,yes
3422,46,blue-collar,married,secondary,no,84,yes,no,unknown,15,may,49,1,-1,0,unknown,no
35840,42,blue-collar,married,primary,no,258,yes,no,cellular,8,may,18,1,366,1,failure,no
24859,36,admin.,divorced,secondary,no,454,yes,no,cellular,18,nov,165,1,131,1,failure,no
38970,33,blue-collar,married,primary,no,827,yes,no,cellular,18,may,18,4,-1,0,unknown,no
3142,42,blue-collar,married,unknown,no,1260,yes,no,unknown,14,may,79,3,-1,0,unknown,no
29028,38,services,married,secondary,no,-301,no,yes,cellular,2,feb,182,1,-1,0,unknown,no
18562,42,self-employed,married,secondary,no,3211,no,no,cellular,31,jul,180,1,-1,0,unknown,no
10206,42,blue-collar,married,unknown,no,8600,no,no,unknown,11,jun,90,9,-1,0,unknown,no
23819,53,admin.,married,secondary,no,578,no,no,cellular,29,aug,59,2,-1,0,unknown,no
33464,45,unemployed,divorced,primary,no,757,no,no,cellular,20,apr,103,1,325,4,failure,no
13067,52,entrepreneur,married,tertiary,yes,-468,no,no,cellular,8,jul,534,1,-1,0,unknown,yes
43259,29,management,single,tertiary,no,2344,yes,no,cellular,9,mar,265,2,-1,0,unknown,no
30458,40,blue-collar,married,primary,no,665,yes,no,cellular,5,feb,177,3,211,1,success,no
27603,48,technician,married,secondary,no,761,no,no,cellular,21,nov,307,2,-1,0,unknown,no
17285,39,services,married,secondary,no,-267,yes,no,cellular,28,jul,143,10,-1,0,unknown,no
40017,33,admin.,single,secondary,no,16,yes,yes,cellular,3,jun,102,1,-1,0,unknown,no
12764,46,unemployed,married,secondary,no,926,no,no,cellular,7,jul,385,5,-1,0,unknown,yes
32641,35,services,married,secondary,no,195,yes,no,cellular,17,apr,203,1,-1,0,unknown,no
19544,32,management,single,tertiary,no,1010,no,no,cellular,7,aug,67,2,-1,0,unknown,no
43849,21,student,single,unknown,no,200,no,no,unknown,1,jun,8,1,-1,0,unknown,no
10642,38,services,divorced,secondary,no,439,no,no,unknown,16,jun,50,1,-1,0,unknown,no
10020,53,management,married,secondary,no,2522,no,no,unknown,9,jun,478,2,-1,0,unknown,no
33008,31,technician,single,secondary,no,579,yes,yes,cellular,17,apr,469,3,322,15,other,no
34280,41,blue-collar,married,secondary,no,1354,yes,no,cellular,4,may,106,2,-1,0,unknown,no
25676,40,student,married,secondary,no,260,no,no,cellular,19,nov,52,1,152,6,failure,no
19370,33,management,single,tertiary,no,1097,no,yes,cellular,6,aug,308,4,-1,0,unknown,no
37987,31,management,married,tertiary,no,233,yes,no,cellular,14,may,241,2,365,10,failure,no
21520,60,admin.,married,secondary,no,3043,no,no,cellular,19,aug,235,3,-1,0,unknown,no
15471,34,entrepreneur,married,tertiary,no,145,yes,yes,cellular,18,jul,127,10,-1,0,unknown,no
38841,24,technician,single,secondary,no,81,yes,no,cellular,18,may,333,1,-1,0,unknown,no
23863,34,admin.,married,secondary,no,96,no,no,cellular,29,aug,109,2,-1,0,unknown,no
15260,34,blue-collar,married,primary,no,151,yes,no,cellular,17,jul,546,6,-1,0,unknown,no
11902,58,retired,married,primary,no,741,no,no,unknown,20,jun,81,2,-1,0,unknown,no
8951,29,blue-collar,single,secondary,no,-167,yes,no,unknown,4,jun,361,1,-1,0,unknown,no
20676,36,technician,married,secondary,no,295,no,no,cellular,12,aug,129,6,-1,0,unknown,no
19251,36,management,divorced,tertiary,yes,36,no,no,cellular,6,aug,836,4,-1,0,unknown,yes
16447,48,management,married,secondary,no,0,yes,no,telephone,23,jul,90,2,-1,0,unknown,no
9363,36,management,single,secondary,no,992,no,no,unknown,6,jun,351,1,-1,0,unknown,no
35405,36,blue-collar,married,secondary,no,2095,yes,no,cellular,7,may,122,2,-1,0,unknown,no
40543,46,blue-collar,married,secondary,no,922,yes,no,telephone,8,jul,576,1,-1,0,unknown,yes
40071,29,management,married,tertiary,no,205,no,no,cellular,4,jun,787,1,-1,0,unknown,yes
36371,39,technician,married,secondary,no,626,yes,no,cellular,11,may,126,2,-1,0,unknown,no
24624,57,technician,married,secondary,no,1158,no,no,unknown,17,nov,204,2,109,21,other,no
1222,49,admin.,single,primary,no,181,yes,no,unknown,8,may,161,3,-1,0,unknown,no
17309,32,blue-collar,single,secondary,no,82,yes,no,cellular,28,jul,86,4,-1,0,unknown,no
1793,35,blue-collar,married,primary,no,108,yes,no,unknown,9,may,200,4,-1,0,unknown,no
21480,39,management,single,secondary,no,2644,no,no,cellular,19,aug,192,7,-1,0,unknown,no
20091,31,technician,single,secondary,no,388,no,no,cellular,11,aug,144,2,-1,0,unknown,no
38462,60,retired,divorced,secondary,no,4974,yes,no,cellular,15,may,80,4,-1,0,unknown,no
40756,22,student,single,unknown,no,3317,no,no,cellular,10,aug,148,1,-1,0,unknown,no
10603,49,services,divorced,secondary,no,3250,no,no,unknown,16,jun,32,3,-1,0,unknown,no
34951,29,technician,single,tertiary,no,2203,yes,no,cellular,6,may,1131,2,-1,0,unknown,no
36646,43,blue-collar,single,secondary,no,24,no,no,cellular,12,may,68,1,363,1,failure,no
37155,53,admin.,single,secondary,no,233,yes,no,cellular,13,may,101,1,-1,0,unknown,no
9568,57,entrepreneur,married,tertiary,no,1114,no,no,unknown,6,jun,139,2,-1,0,unknown,no
44792,40,entrepreneur,married,tertiary,no,3585,no,no,cellular,15,sep,506,3,-1,0,unknown,yes
32600,33,admin.,single,secondary,no,375,yes,no,cellular,17,apr,151,1,-1,0,unknown,no
26030,39,management,married,tertiary,no,12855,yes,no,cellular,19,nov,108,4,173,1,failure,no
2797,26,student,single,secondary,no,91,yes,no,unknown,14,may,174,2,-1,0,unknown,no
16609,45,services,divorced,secondary,no,138,no,no,telephone,24,jul,279,11,-1,0,unknown,no
39643,60,retired,married,tertiary,no,3461,no,no,cellular,26,may,94,2,112,2,failure,no
14150,60,management,married,tertiary,no,2222,yes,no,cellular,11,jul,1120,2,-1,0,unknown,yes
19784,32,management,single,tertiary,no,0,no,no,cellular,8,aug,282,4,-1,0,unknown,no
4842,34,blue-collar,married,secondary,no,528,yes,no,unknown,21,may,85,1,-1,0,unknown,no
27546,34,services,married,secondary,no,1637,yes,no,cellular,21,nov,107,4,-1,0,unknown,no
6969,36,blue-collar,single,primary,no,2176,yes,no,unknown,28,may,52,2,-1,0,unknown,no
41488,34,management,married,tertiary,no,1022,yes,no,cellular,8,sep,219,1,-1,0,unknown,no
23208,51,technician,married,tertiary,no,1121,no,no,cellular,27,aug,68,4,-1,0,unknown,no
1990,53,management,married,tertiary,no,913,yes,no,unknown,9,may,244,4,-1,0,unknown,no
44710,26,admin.,single,tertiary,no,760,yes,no,cellular,6,sep,164,2,186,7,success,no
7437,28,management,single,tertiary,no,1086,yes,no,unknown,29,may,128,2,-1,0,unknown,no
24015,50,admin.,married,tertiary,no,0,no,no,telephone,29,aug,253,2,-1,0,unknown,no
31614,29,technician,married,secondary,no,-547,yes,yes,cellular,6,apr,225,1,-1,0,unknown,no
38816,23,student,married,tertiary,yes,-230,yes,no,cellular,18,may,259,2,-1,0,unknown,no
18956,52,management,married,tertiary,no,7192,no,no,cellular,4,aug,1486,1,-1,0,unknown,yes
44897,31,technician,married,tertiary,no,3338,yes,no,cellular,27,sep,162,2,95,4,failure,no
35677,43,blue-collar,married,secondary,no,2,yes,yes,cellular,8,may,7,5,-1,0,unknown,no
1144,36,services,single,secondary,no,248,yes,no,unknown,7,may,90,2,-1,0,unknown,no
12531,27,admin.,divorced,secondary,no,2,no,yes,unknown,3,jul,472,1,-1,0,unknown,no
3646,58,management,divorced,tertiary,no,1533,no,no,unknown,15,may,137,2,-1,0,unknown,no
16679,40,services,married,secondary,no,-345,yes,no,cellular,24,jul,39,2,-1,0,unknown,no
12595,31,admin.,single,secondary,no,144,yes,no,unknown,4,jul,43,11,-1,0,unknown,no
28558,37,management,divorced,secondary,no,414,no,no,cellular,29,jan,293,2,162,4,failure,no
29909,32,blue-collar,single,primary,no,354,no,no,cellular,4,feb,239,1,196,8,failure,no
34304,37,blue-collar,married,primary,no,2939,yes,no,cellular,4,may,191,3,-1,0,unknown,no
26407,40,self-employed,married,tertiary,no,1604,no,no,cellular,20,nov,117,1,-1,0,unknown,no
34620,34,services,divorced,secondary,no,-258,yes,no,cellular,5,may,259,1,-1,0,unknown,no
6591,33,blue-collar,single,tertiary,no,-303,yes,no,unknown,28,may,126,2,-1,0,unknown,no
6842,50,self-employed,divorced,tertiary,no,59,yes,no,unknown,28,may,67,2,-1,0,unknown,no
24566,37,management,single,tertiary,no,600,yes,no,cellular,17,nov,116,2,196,1,failure,no
17630,38,technician,single,secondary,no,1655,no,no,cellular,29,jul,392,2,-1,0,unknown,no
378,33,management,married,tertiary,no,0,yes,no,unknown,6,may,290,1,-1,0,unknown,no
25447,55,technician,married,secondary,no,6043,no,no,cellular,19,nov,427,3,-1,0,unknown,no
1269,57,management,married,tertiary,no,1341,yes,no,unknown,8,may,339,2,-1,0,unknown,no
33437,36,management,single,tertiary,no,832,yes,no,cellular,20,apr,237,2,-1,0,unknown,no
18183,29,blue-collar,married,secondary,no,1175,yes,yes,cellular,30,jul,141,4,-1,0,unknown,no
41977,46,admin.,married,secondary,no,0,yes,no,cellular,26,oct,87,1,185,2,other,no
31810,39,technician,single,secondary,no,1048,yes,yes,cellular,8,apr,201,2,-1,0,unknown,no
12302,42,technician,single,secondary,no,-15,no,no,unknown,25,jun,71,1,-1,0,unknown,no
27235,34,technician,married,secondary,no,5553,yes,no,cellular,21,nov,798,2,182,5,failure,no
6865,34,technician,married,secondary,no,1246,no,no,unknown,28,may,88,3,-1,0,unknown,no
3799,47,blue-collar,married,secondary,no,-656,yes,no,unknown,16,may,184,2,-1,0,unknown,no
11411,44,management,married,secondary,no,11972,no,no,unknown,19,jun,127,1,-1,0,unknown,no
13161,40,blue-collar,married,primary,no,143,no,yes,cellular,8,jul,167,2,-1,0,unknown,no
1024,43,blue-collar,single,primary,no,548,yes,no,unknown,7,may,98,1,-1,0,unknown,no
35272,39,management,single,tertiary,no,4239,yes,no,cellular,7,may,40,1,-1,0,unknown,no
1439,46,blue-collar,married,secondary,no,125,yes,yes,unknown,8,may,119,2,-1,0,unknown,no
30100,32,entrepreneur,single,primary,no,1770,no,yes,cellular,4,feb,206,2,188,6,failure,no
25388,40,management,married,tertiary,no,6008,yes,no,cellular,18,nov,989,1,-1,0,unknown,no
44929,30,services,single,tertiary,no,21,no,no,unknown,5,oct,4,1,-1,0,unknown,no
25951,47,blue-collar,divorced,primary,no,551,yes,no,cellular,19,nov,662,2,-1,0,unknown,no
1544,33,unemployed,single,secondary,no,177,no,no,unknown,8,may,75,4,-1,0,unknown,no
267,39,admin.,divorced,secondary,no,-349,yes,no,unknown,5,may,611,2,-1,0,unknown,no
6519,26,technician,single,secondary,no,75,yes,no,unknown,27,may,337,2,-1,0,unknown,no
14982,32,admin.,married,secondary,no,0,yes,no,cellular,16,jul,524,4,-1,0,unknown,no
16805,45,blue-collar,married,secondary,no,1103,yes,no,cellular,24,jul,828,2,-1,0,unknown,no
15207,35,blue-collar,married,tertiary,no,1016,yes,no,cellular,17,jul,294,2,-1,0,unknown,no
29886,34,housemaid,married,primary,no,0,yes,no,cellular,4,feb,77,1,-1,0,unknown,no
28392,29,management,married,tertiary,no,1258,yes,no,cellular,29,jan,287,1,-1,0,unknown,no
8312,59,blue-collar,married,secondary,no,104,yes,no,unknown,2,jun,92,5,-1,0,unknown,no
41366,37,unemployed,married,tertiary,no,7620,no,no,telephone,31,aug,164,3,98,3,failure,no
42022,54,admin.,divorced,secondary,no,735,no,no,cellular,28,oct,300,1,-1,0,unknown,no
6377,45,entrepreneur,married,primary,no,-100,yes,no,unknown,27,may,240,6,-1,0,unknown,no
2587,52,technician,divorced,secondary,no,1161,yes,no,unknown,13,may,271,1,-1,0,unknown,no
30849,29,admin.,single,secondary,no,103,no,no,cellular,9,feb,502,5,-1,0,unknown,no
34173,26,self-employed,single,tertiary,no,553,no,no,cellular,30,apr,347,3,-1,0,unknown,no
9783,58,entrepreneur,married,tertiary,no,2920,yes,no,unknown,9,jun,136,1,-1,0,unknown,no
17908,45,admin.,divorced,secondary,no,1201,no,no,cellular,30,jul,652,2,-1,0,unknown,no
11529,53,retired,married,primary,no,828,yes,no,unknown,19,jun,232,1,-1,0,unknown,no
27050,47,unemployed,married,primary,no,324,no,no,cellular,21,nov,462,2,-1,0,unknown,yes
12367,57,retired,married,secondary,no,-418,no,yes,unknown,27,jun,95,1,-1,0,unknown,no
20084,45,blue-collar,married,secondary,no,115,no,no,cellular,11,aug,209,4,-1,0,unknown,no
32748,47,management,married,tertiary,no,385,yes,no,cellular,17,apr,145,1,323,4,failure,no
41841,75,retired,married,secondary,no,3771,no,no,telephone,16,oct,186,1,183,1,failure,yes
13107,25,technician,single,secondary,no,0,no,yes,cellular,8,jul,634,1,-1,0,unknown,yes
18206,44,services,married,secondary,no,972,yes,no,cellular,30,jul,294,3,-1,0,unknown,no
23996,32,technician,single,secondary,no,224,no,no,cellular,29,aug,451,4,-1,0,unknown,no
14152,37,entrepreneur,married,tertiary,no,986,no,no,cellular,11,jul,970,2,-1,0,unknown,no
35295,25,services,single,secondary,no,0,yes,no,cellular,7,may,282,1,-1,0,unknown,no
11528,36,blue-collar,single,secondary,no,0,no,no,unknown,19,jun,238,1,-1,0,unknown,no
34220,33,technician,single,tertiary,no,1636,yes,no,cellular,4,may,592,1,66,1,success,yes
1068,59,blue-collar,married,primary,no,10,yes,no,unknown,7,may,133,3,-1,0,unknown,no
20774,60,housemaid,married,unknown,no,2769,no,no,cellular,13,aug,96,2,-1,0,unknown,no
26363,55,management,divorced,tertiary,no,29484,no,no,cellular,20,nov,151,2,-1,0,unknown,no
40445,26,self-employed,single,tertiary,no,1393,no,no,cellular,3,jul,194,1,-1,0,unknown,no
24017,37,admin.,married,secondary,no,373,no,no,cellular,29,aug,98,10,-1,0,unknown,no
42850,37,admin.,single,secondary,no,728,no,no,cellular,3,feb,129,1,174,2,other,yes
